# ML for C64 - Appendix C: B128 Memory Map

A96B:  Get fixed point number
A9A5:  Perform LET
AA80:  Perform PRINT#

                                                                        :208:

AA86:  Perform CMD
AAA0:  Perform PRINT
AB1E:  Print string from (Y.A)
AB3B:  Print format character
AB4D:  Bad input routine
AB7B:  Perform GET
ABA5:  Perform INPUT#
ABBF:  Perform INPUT
ABF9:  Prompt and input
AC06:  Perform READ
ACFC:  Input error messages
AD1E:  Perform NEXT
AD78:  Type match check
AD9E:  Evaluate expression
AEA8:  Constant-pi
AEF1:  Evaluate within brackets
AEF7:  Check for ")"
AEFF:  Check for comma
AF08:  Syntax error
AF14:  Check range
AF28:  Search for variable
AFA7:  Set up FN reference
AFE6:  Evaluate OR
AFE9:  Evaluate AND
B016:  Compare
B081:  Perform DIM
B08B:  Locate variable
B113:  Check alphabetic
B11D:  Create variable
B194:  Array pointer subroutine
B1A5:  Value 32768
B1B2:  Float-fixed
B1D1:  Set up array
B245:  Print "BAD SUBSCRIPT"
B248:  Print "ILLEGAL QUANTITY"
B34C:  Compute array size
B37D:  Evaluate FRE
B391:  Fixed-float
B39E:  Evaluate POS
B3A6:  Check direct
B3B3:  Perform DEF
B3E1:  Check FN syntax
B3F4:  Evaluate FN

                                                                        :209:

B465:  Evaluate STR$
B475:  Calculate string vector
B487:  Set up string
B4F4:  Make room for string
B526:  Garbage collection
B5BD:  Check salvageability
B606:  Collect string
B63D:  Concatenate
B67A:  Build string to memory
B6A3:  Discard unwanted string
B6DB:  Clean descriptor stack
B6EC:  Evaluate CHR$
B700:  Evaluate LEFT$
B72C:  Evaluate RIGHT$
B737:  Evaluate MID$
B761:  Pull string parameters
B77C:  Evaluate LEN
B782:  Exit string-mode
B78B:  Evaluate ASC
B79B:  Input byte parameter
B7EB:  Parameters for POKE/WAIT
B7F7:  Float-fixed
B80D:  Evaluate PEEK
B824:  Perform POKE
B82D:  Perform WAIT
B849:  Add 0.5
B850:  Subtract-from
B853:  Evaluate - (subtraction)
B86A:  Evaluate + (addition)
B947:  Complement FAC (floating accumulator) #1
B97E:  Print "OVERFLOW"
B983:  Multiply by zero byte
B9EA:  Evaluate LOG
BA2B:  Evaluate * (multiplication)
BA59:  Multiply a bit
BA8C:  Memory to FAC#2
BAB7:  Adjust FAC#1 and FAC#2
BAD4:  Underflow/overflow
BAE2:  Multiply by 10
BAF9:  +10 in floating point
BAFE:  Divide by 10
BB12:  Evaluate / (division)

                                                                        :210:

BBA2:  Memory to FAC#1
BBC7:  FAC#1 to memory
BBFC:  FAC#2 to FAC#1
BC0C:  FAC#1 to FAC#2
BC1B:  Round FAC#1
BC2B:  Get sign
BC39:  Evaluate SGN
BC58:  Evaluate ABS
BC5B:  Compare FAC#1 to memory
BC9B:  Float-fixed
BCCC:  Evaluate INT
BCF3:  String to FAC
BD7E:  Get ASCII digit
BDC2:  Print "IN.."
BDCD:  Print line number
BDDD:  Float to ASCII
BF16:  Decimal constants
BF3A:  TI constants
BF71:  Evaluate SQR
BF7B:  Evaluate ^ (raise to power)
BFB4:  Evaluate - (negative)
BFED:  Evaluate EXP
E043:  Series evaluation 1
E059:  Series evaluation 2
E097:  Evaluate RND
E0F9:  Kernal calls with error checking
E12A:  Perform SYS
E156:  Perform SAVE
E165:  Perform VERIFY
E168:  Perform LOAD
E1BE:  Perform OPEN
E1C7:  Perform CLOSE
E1D4:  Parameters for LOAD/SAVE
E206:  Check default parameters
E20E:  Check for comma
E219:  Parameters for open/close
E264:  Evaluate COS
E26B:  Evaluate SIN
E2B4:  Evaluate TAN
E30E:  Evaluate ATN
E37B:  Warm restart
E394:  Initialize
E3A2:  CHRGET for zero page

                                                                        :211:

E3BF:  Initialize BASIC
E447:  Vectors for $0300
E453:  Initialize vectors
E45F:  Power-up message
E500:  Get I/O messages
E505:  Get screen size
E50A:  Put/get row/column
E518:  Initialize I/O
E544:  Clear screen
E566:  Home cursor
E56C:  Set screen pointers
E5A0:  Set I/O defaults
E5B4:  Input from keyboard
E632:  Input from screen
E684:  Quote test
E691:  Set up screen print
E6B6:  Advance cursor
E6ED:  Retreat cursor
E701:  Back into previous line
E716:  Output to screen
E87C:  Go to next line
E891:  Perform (return)
E8A1:  Check line decrement
E8B3:  Check line increment
E8CB:  Set color code
E8EA:  Scroll screen
E965:  Open space on screen
E9C8:  Move a screen line
E9E0:  Synchronize color transfer
E9F0:  Set start-of-line
E9FF:  Clear screen line
EA13:  Print to screen
EA24:  Synchronize color pointer
EA31:  Interrupt-clock, etc.
EA87:  Read keyboard
EB79:  Keyboard select vectors
EB81:  Keyboard 1-unshifted
EBC2:  Keyboard 2-shifted
EC03:  Keyboard 3-"Commodore" shifted
EC44:  Graphics/text control
EC4F:  Set graphics/text mode
EC78:  Keyboard 4

                                                                        :212:

ECB9:  Video chip setup
ECE7:  Shift/run equivalent
ECF0:  Screen line address low
ED09:  Send "talk" to serial bus
ED0C:  Send "listen" to serial bus
ED40:  Send to serial bus
EDB2:  Serial timeout
EDB9:  Send listen SA
EDBE:  Clear ATN
EDC7:  Send talk SA
EDCC:  Wait for clock
EDDD:  Send serial deferred
EDEF:  Send "untalk" to serial bus
EDFE:  Send "unlisten" to serial bus
EE13:  Receive from serial bus
EE85:  Serial clock on
EE8E:  Serial clock off
EE97:  Serial output "1"
EEA0:  Serial output "0"
EEA9:  Get serial in and clock signals
EEB3:  Delay 1 millisecond
EEBB:  RS-232 send
EF06:  Send new RS-232 byte
EF2E:  No-DSR error
EF31:  No-CTS error
EF3B:  Disable timer
EF4A:  Compute bit count
EF59:  RS-232 receive
EF7E:  Set up to receive
EFC5:  Receive parity error
EFCA:  Receive overflow
EFCD:  Receive break
EFD0:  Framing error
EFE1:  Submit to RS-232
F00D:  No-DSR error
F017:  Send to RS-232 buffer
F04D:  Input from RS-232
F086:  Get from RS-232
F0A4:  Check serial bus idle
F0BD:  Messages
F12B:  Print if direct
F13E:  Get...
F14E:  ...from RS-232

                                                                        :213:

F157:  Input
F199:  Get:  tape/serial/RS-232
F1CA:  Output...
F1DD:  ...to tape
F20E:  Set input device
F250:  Set output device
F291:  Close file
F30F:  Find file
F31F:  Set file values
F32F:  Abort all files
F333:  Restore default I/O
F34A:  Do file open
F3D5:  Send SA
F409:  Open RS-232
F49E:  Load program
F5AF:  Print "SEARCHING"
F5C1:  Print filename
F5D2:  Print "LOADING"/"VERIFYING"
F5DD:  Save program
F68F:  Print "SAVING"
F69B:  Bump clock
F6BC:  Log PIA key reading
F6DD:  Get time
F6E4:  Set time
F6ED:  Check STOP key
F6FB:  Output error messages
F72D:  Find any tape header
F76A:  Write tape header
F7D0:  Get buffer address
F7D7:  Set buffer start/end pointers
F7EA:  Find specific header
F80D:  Bump tape pointer
F817:  Print "PRESS PLAY..."
F82E:  Check tape status
F838:  Print "PRESS RECORD..."
F841:  Initiate tape read
F864:  Initiate tape write
F875:  Common tape code
F8D0:  Check tape stop
F8E2:  Set read timing
F92C:  Read tape bits
FA60:  Store tape characters
FB8E:  Reset pointer

                                                                        :214:

FB97:  New character setup
FBA6:  Send transition to tape
FBC7:  Write data to tape
FBCD:  IRQ entry point
FC57:  Write tape header
FC93:  Restore normal IRQ
FCB8:  Set IRQ vector
FCCA:  Kill tape motor
FCD1:  Check R/W pointer
FCDB:  Bump R/W pointer
FCE2:  Power reset entry
FD02:  Check 8-ROM
FD10:  8-ROM mask
FD15:  Kernal reset
FD1A:  Kernal move
FD30:  Vectors
FD50:  Initialize system constants
FD9B:  IRQ vectors
FDA3:  Initialize I/O
FDDD:  Enable timer
