# MACHINE - Further ROM routines (BBA2 through E0F9). Contains FAC (floating accumulator) memory routines, floating/integer conversions, advanced math and transcendental function routines (LOG, SQR, EXP, RND), compare and series evaluation routines, and references to ROM float/series evaluation address ranges and helpers.

                                                                        :210:

BBA2:  Memory to FAC#1
BBC7:  FAC#1 to memory
BBFC:  FAC#2 to FAC#1
BC0C:  FAC#1 to FAC#2
BC1B:  Round FAC#1
BC2B:  Get sign
BC39:  Evaluate SGN
BC58:  Evaluate ABS
BC5B:  Compare FAC#1 to memory
BC9B:  Float-fixed
BCCC:  Evaluate INT
BCF3:  String to FAC
BD7E:  Get ASCII digit
BDC2:  Print "IN.."
BDCD:  Print line number
BDDD:  Float to ASCII
BF16:  Decimal constants
BF3A:  TI constants
BF71:  Evaluate SQR
BF7B:  Evaluate ^ (raise to power)
BFB4:  Evaluate - (negative)
BFED:  Evaluate EXP
E043:  Series evaluation 1
E059:  Series evaluation 2
E097:  Evaluate RND
E0F9:  Kernal calls with error checking
E12A:  Perform SYS
E156:  Perform SAVE
E165:  Perform VERIFY
E168:  Perform LOAD
E1BE:  Perform OPEN
E1C7:  Perform CLOSE
E1D4:  Parameters for LOAD/SAVE
E206:  Check default parameters
E20E:  Check for comma
E219:  Parameters for open/close
E264:  Evaluate COS
E26B:  Evaluate SIN
E2B4:  Evaluate TAN
E30E:  Evaluate ATN
E37B:  Warm restart
E394:  Initialize
E3A2:  CHRGET for zero page


---
Additional information can be found by searching:
- "c64_rom_vectors_e12a_to_f04d" which expands on Kernal and I/O related ROM routines and vectors
