# MACHINE - ROM/Kernal routines covering EFxx and F0xx ranges (EFxx to F04D). Includes RS-232/serial send/receive, parity/error handling, timer/bit-count helpers, serial clock control, routines for serial bus 'talk'/'listen' messaging, and serial input/output controls. Also includes references to later file and tape handling routines.

EF06:  Send new RS-232 byte
EF2E:  No-DSR error
EF31:  No-CTS error
EF3B:  Disable timer
EF4A:  Compute bit count
EF59:  RS-232 receive
EF7E:  Set up to receive
EFC5:  Receive parity error
EFCA:  Receive overflow
EFCD:  Receive break
EFD0:  Framing error
EFE1:  Submit to RS-232
F00D:  No-DSR error
F017:  Send to RS-232 buffer
F04D:  Input from RS-232
F086:  Get from RS-232
F0A4:  Check serial bus idle
F0BD:  Messages
F12B:  Print if direct
F13E:  Get...
F14E:  ...from RS-232

                                                                        :213:

F157:  Input
F199:  Get:  tape/serial/RS-232
F1CA:  Output...
F1DD:  ...to tape
F20E:  Set input device
F250:  Set output device
F291:  Close file
F30F:  Find file
F31F:  Set file values
F32F:  Abort all files
F333:  Restore default I/O
F34A:  Do file open
F3D5:  Send SA
F409:  Open RS-232
F49E:  Load program
F5AF:  Print "SEARCHING"
F5C1:  Print filename
F5D2:  Print "LOADING"/"VERIFYING"
F5DD:  Save program
F68F:  Print "SAVING"
F69B:  Bump clock
F6BC:  Log PIA key reading
F6DD:  Get time
F6E4:  Set time
F6ED:  Check STOP key
F6FB:  Output error messages
F72D:  Find any tape header
F76A:  Write tape header
F7D0:  Get buffer address
F7D7:  Set buffer start/end pointers
F7EA:  Find specific header
F80D:  Bump tape pointer
F817:  Print "PRESS PLAY..."
F82E:  Check tape status
F838:  Print "PRESS RECORD..."
F841:  Initiate tape read
F864:  Initiate tape write
F875:  Common tape code
F8D0:  Check tape stop
F8E2:  Set read timing
F92C:  Read tape bits
FA60:  Store tape characters
FB8E:  Reset pointer

                                                                        :214:

---
Additional information can be found by searching:
- "c64_rom_vectors_f157_to_fffa" which expands on I/O, tape and file routines, IRQ/NMI management and hardware vectors
