# MACHINE - End of ROM routine listing and Kernal vectors (FB97 through FFFA). Includes tape operations (new character setup, write to tape), IRQ/BRK/interrupt entry points, power/reset entry points, vector initialization (FDxx), enable timer, file details save, and concluding hardware/jumbo jump tables and hardware vectors (FFFA etc).


FB97:  New character setup
FBA6:  Send transition to tape
FBC7:  Write data to tape
FBCD:  IRQ entry point
FC57:  Write tape header
FC93:  Restore normal IRQ
FCB8:  Set IRQ vector
FCCA:  Kill tape motor
FCD1:  Check R/W pointer
FCDB:  Bump R/W pointer
FCE2:  Power reset entry
FD02:  Check 8-ROM
FD10:  8-ROM mask
FD15:  Kernal reset
FD1A:  Kernal move
FD30:  Vectors
FD50:  Initialize system constants
FD9B:  IRQ vectors
FDA3:  Initialize I/O
FDDD:  Enable timer
FDF9:  Save filename data
FE00:  Save file details
FE07:  Get status
FE18:  Flag status
FE1C:  Set status
FE21:  Set timeout
FE25:  Read/set top of memory
FE27:  Read top of memory
FE2D:  Set top of memory
FE34:  Read/set bottom of memory
FE43:  NMI entry
FE66:  Warm start
FEB6:  Reset IRQ and exit
FEBC:  Interrupt exit
FEC2:  RS-232 timing table
FED6:  NMI RS-232 in
FF07:  NMI RS-232 out
FF43:  Fake IRQ
FF48:  IRQ entry
FF81:  Jumbo jump table
FFFA:  Hardware vectors

---
Additional information can be found by searching:
- "appendix_d_superchart_and_petscii" which expands on Appendix D PET character sets follow the Kernal listing
